Patientnumber,Gender,Age,Weight,BCS,Sxleg,TPA,IOS,IOA,PreOA,PostOA,PreG,PreE,PreOS,PreM,PostG,PostE,PostOs,PostM,Plate,Type,Meniscus,PRP,MlPRP,Nocita,Icomp,Hosp,Antibiotic,Increcheck,Lamerecheck,Comprecheck,Polame, Osteotomy,CompPO,Incinfection,Explant,Reop,Bilateral
307122,MN,7,17,5,R,28,MO,,3,3,1,2,1,0,1,1,1,0,3.5,M,I,N,,N,N,1,N,R,2,N,1,Y,N,N,N,N,N
327230,FS,1,17.4,5,L,26,M,M,2,2,1,1,1,0,1,1,1,1,3.5,M,I,N,,Y,Y,1,N,N,2,N,0,Y,N,N,N,N,N
338296,MN,11,14,5,L,31,MO,,2,3,1,1,0,0,1,2,1,1,3.5,M,T,N,,Y,Y,1,N,N,1,N,0,Y,N,N,N,N,N
337915,FS,2,22,5,R,31,MO,M,2,2,1,2,1,0,1,2,1,0,3.5,S,T,N,,Y,N,1,Y,I,1,Y,0,Y,N,Y,N,N,N
348153,FS,4,44,6,R,27,,M,2,,1,2,1,1,,,,,3.5,B,I,N,,Y,N,1,N,R,2,N,0,,,N,N,N,N
336415,FS,1,27,6,R,30,MO,MO,2,2,1,2,1,1,1,2,1,1,3.5,M,I,N,,Y,N,1,N,N,1,N,0,N,N,N,N,N,Y
336415,FS,2,28,6,L,30,S,MO,2,2,1,2,1,1,1,2,1,2,3.5,S,I,N,,Y,N,1,N,N,2,N,0,Y,N,N,N,N,Y
326077,FS,6,19.6,5,R,27,M,MO,3,3,1,2,1,0,1,1,1,0,3.5,M,I,N,,Y,N,1,N,N,2,N,0,N,Y,N,N,N,Y
326077,FS,7,19,5,L,27,M,MO,3,3,1,1,1,1,1,1,1,1,3.5,M,I,N,,Y,N,1,N,R,1,N,0,N,N,N,N,N,Y
317942,FS,2,25.1,5,R,25,M,,2,2,1,2,1,0,1,2,1,0,3.5,S,I,N,,Y,N,1,N,N,2,N,0,Y,N,N,N,N,Y
317942,FS,2,25.6,5,L,26,M,,3,3,1,2,1,0,1,2,1,1,3.5,S,I,N,,Y,N,1,N,N,2,N,0,N,N,N,N,N,Y
261836,MN,7,30.2,6,R,25,M,MO,4,4,2,2,2,0,2,2,2,0,3.5,M,T,N,,Y,N,1,Y,I,2,Y,1,N,Y,Y,N,N,Y
261836,MN,7,31.8,6,L,25,M,MO,3,4,1,1,1,1,2,2,2,0,3.5,M,I,N,,Y,N,1,Y,R,2,N,0,N,N,N,N,N,Y
